316714.774539703	4158049.95752011	
316715.057718749	4158050.37313029	
316715.410593429	4158050.74279489	
316715.8513227	4158051.08831629	
316716.340893485	4158051.24403105	
316716.807146029	4158051.54458228	
316717.134252228	4158051.94812091	
316717.418166128	4158052.39701991	
316717.587722005	4158052.87064733	
316717.670158299	4158053.4017067	
316717.646091018	4158053.91291442	
316717.516010205	4158054.42646299	
316717.350101542	4158054.91859935	
316717.157444505	4158055.40022468	
316716.98294644	4158055.90365237	
316716.887958533	4158056.40532442	
316716.908308631	4158056.92665304	
316717.069275021	4158057.41157177	
316717.309261487	4158057.87254236	
316717.498201287	4158058.42345337	
316717.71217436	4158058.90720169	
316717.996578045	4158059.37829319	
316718.262822766	4158059.82758235	
316718.589928598	4158060.23112103	
316718.890531034	4158060.63524493	
316719.217146784	4158061.01659114	
316719.465722484	4158061.46627047	
316719.759205454	4158061.94826321	
316720.103980041	4158062.35141181	
316720.474767934	4158062.73178272	
316720.802853586	4158063.17970648	
316721.156217516	4158063.5715638	
316721.483568077	4158063.98619884	
316721.802574171	4158064.42322145	
316722.042560196	4158064.88419216	
316722.203281156	4158065.35801473	
316722.375286621	4158065.94260472	
316722.474656421	4158066.43998526	
316722.468747858	4158066.97299533	
316722.382839258	4158067.4855685	
316722.323924027	4158068.01974897	
316722.122187622	4158068.49047301	
316722.010020738	4158069.01472764	
316722.663741326	4158069.79961278	
316721.723874209	4158069.26528232	
316722.473072834	4158069.57068794	
316721.68829142	4158069.25496633	
