250209.604352	3688242.869804
250209.750543	3688242.745033
250209.899145	3688242.618194
250210.040747	3688242.487485
250210.193852	3688242.365141
250210.339783	3688242.236898
250210.489556	3688242.106218
250210.640229	3688241.979203
250210.786093	3688241.845048
250210.935609	3688241.715654
250211.087467	3688241.586091
250211.235432	3688241.460796
250211.394248	3688241.348283
250211.56494	3688241.2567
250211.743432	3688241.170001
250211.918049	3688241.094333
250212.093536	3688241.016497
250212.278192	3688240.950316
250212.461563	3688240.878532
250212.64538	3688240.807802
250212.834465	3688240.751024
250213.008652	3688240.667786
250213.193628	3688240.619159
250213.379278	3688240.561295
250213.566902	3688240.496971
250213.752983	3688240.430382
250213.943826	3688240.373217
250214.129994	3688240.305444
250214.312548	3688240.231006
250214.495027	3688240.152005
250214.672094	3688240.064943
250214.832576	3688239.955532
250215.001234	3688239.849756
250215.175713	3688239.767865
250215.343254	3688239.662874
250215.517669	3688239.57093
250215.684233	3688239.466076
250215.846763	3688239.353994
250216.014579	3688239.252587
250216.17005	3688239.13053
250216.324258	3688239.009465
250216.475074	3688238.881871
250216.633404	3688238.764274
250216.795681	3688238.653786
250216.946049	3688238.529242
250217.095032	3688238.408486
250217.250819	3688238.28594
250217.404826	3688238.167443
250217.553206	3688238.034628
250217.714446	3688237.923001
250217.864308	3688237.797603
250218.018951	3688237.676705
250218.17053	3688237.54946
250218.314123	3688237.423696
250218.459423	3688237.288932
250218.602496	3688237.154491
250218.747455	3688237.018154
250218.892066	3688236.884343
250219.030596	3688236.743805
250219.161698	3688236.601302
250219.306426	3688236.464033
250219.445734	3688236.329329
250219.580441	3688236.192118
250219.71902	3688236.050901
250219.861008	3688235.91404
250220.002895	3688235.785326
250220.14181	3688235.649084
250220.281943	3688235.51414
250220.418054	3688235.371196
250220.560449	3688235.238208
250220.694021	3688235.101164
250220.815557	3688234.946287
250220.957512	3688234.811499
250221.085695	3688234.670681
250221.232668	3688234.538107
250221.374012	3688234.400378
250221.504353	3688234.25451
250221.637083	3688234.11018
250221.767578	3688233.963667
250221.891199	3688233.808513
250222.014239	3688233.654087
250222.134693	3688233.502908
250222.248251	3688233.340275
250222.362428	3688233.178916
250222.482311	3688233.024723
250222.587273	3688232.862334
250222.697135	3688232.699638
250222.781009	3688232.521928
250222.879229	3688232.350671
250222.965611	3688232.175783
250223.059381	3688232.005547
250223.1491	3688231.829816
250223.260088	3688231.669654
250223.349546	3688231.499738
250223.434314	3688231.319839
250223.496505	3688231.144549
250223.580565	3688230.972082
250223.671422	3688230.795247
250223.766246	3688230.622138
250223.826793	3688230.434695
250223.921357	3688230.260466
250224.000905	3688230.082688
250224.080444	3688229.903213
250224.165108	3688229.727639
250224.247856	3688229.549145
250224.343793	3688229.377553
250224.432703	3688229.201912
250224.520893	3688229.026547
250224.628044	3688228.861044
250224.722438	3688228.686516
250224.835838	3688228.52889
250224.957308	3688228.371466
250225.07956	3688228.222999
250225.204678	3688228.077538
250225.336987	3688227.935342
250225.465049	3688227.783939
250225.593832	3688227.634793
250225.716421	3688227.48142
250225.846931	3688227.33885
250225.996223	3688227.210339
250226.131962	3688227.070109
250226.27496	3688226.932708
250226.402841	3688226.788114
250226.54449	3688226.656987
250226.692483	3688226.534402
250226.839263	3688226.40494
250226.983993	3688226.277733
250227.120638	3688226.137411
250227.248082	3688225.997474
250227.391259	3688225.874316
250227.55409	3688225.760136
250227.71086	3688225.640958
250227.869733	3688225.523076
250228.035963	3688225.421262
250228.207665	3688225.324129
250228.380741	3688225.229431
250228.555974	3688225.147416
250228.724535	3688225.050131
250228.906588	3688224.974721
250229.092849	3688224.906357
250229.27183	3688224.836126
250229.454642	3688224.770107
250229.635117	3688224.704575
250229.814142	3688224.630574
250230.002328	3688224.573033
250230.192973	3688224.520265
250230.382716	3688224.466548
250230.571884	3688224.406188
250230.758227	3688224.354357
250230.942908	3688224.304109
250231.125743	3688224.253047
250231.318111	3688224.201966
250231.506417	3688224.149707
250231.693228	3688224.098638
250231.883296	3688224.048281
250232.063369	3688223.981741
250232.249276	3688223.932376
250232.439024	3688223.879383
250232.625549	3688223.813731
250232.811648	3688223.753622
250232.991725	3688223.682949
250233.168918	3688223.590938
250233.346876	3688223.50555
250233.517627	3688223.401622
250233.681668	3688223.289254
250233.835048	3688223.16884
250233.99565	3688223.057706
250234.141926	3688222.932282
250234.28726	3688222.79879
250234.432226	3688222.667407
250234.554091	3688222.514457
250234.679913	3688222.370163
250234.781077	3688222.201723
250234.879032	3688222.038045
250234.961482	3688221.85688
250235.041179	3688221.673646
250235.13745	3688221.503555
250235.209991	3688221.318561
250235.275522	3688221.13058
250235.333911	3688220.944773
250235.385468	3688220.758666
250235.420788	3688220.562465
250235.450499	3688220.367063
250235.481048	3688220.171442
250235.516444	3688219.980094
250235.548342	3688219.784471
250235.570785	3688219.589661
250235.559416	3688219.398859
250235.565992	3688219.200393
250235.56068	3688219.000773
250235.555771	3688218.809927
250235.550393	3688218.6113
250235.561108	3688218.413611
250235.556123	3688218.219862
250235.560633	3688218.02905
250235.574805	3688217.833735
250235.588773	3688217.637031
250235.602299	3688217.443142
250235.608731	3688217.245931
250235.603627	3688217.04755
250235.611915	3688216.852303
250235.593773	3688216.664511
250235.588817	3688216.471868
250235.583648	3688216.274943
250235.594548	3688216.076124
250235.589322	3688215.887725
250235.58428	3688215.69175
250235.571668	3688215.492497
250235.546453	3688215.303566
250235.538369	3688215.105182
250235.511393	3688214.909291
250235.477118	3688214.717923
250235.442585	3688214.525112
250235.407746	3688214.330594
250235.372567	3688214.13458
250235.336494	3688213.941281
250235.310137	3688213.744688
250235.263176	3688213.560705
250235.240005	3688213.369863
250235.204422	3688213.17341
250235.175951	3688212.982974
250235.18328	3688212.783784
250235.167821	3688212.585766
250235.158016	3688212.388204
250235.137038	3688212.193849
250235.132146	3688212.003711
250235.122357	3688211.815817
250235.106582	3688211.618847
250235.093411	3688211.424517
250235.078242	3688211.235681
250235.060725	3688211.038828
250235.056968	3688210.839666
250235.066269	3688210.644349
250235.06105	3688210.447723
250235.055969	3688210.250202
250235.06554	3688210.051925
250235.089471	3688209.855896
250235.11311	3688209.667685
250235.128845	3688209.469126
250235.156778	3688209.271694
250235.191357	3688209.082953
250235.22324	3688208.887298
250235.252162	3688208.690781
250235.309138	3688208.502718
250235.341806	3688208.315227
250235.387399	3688208.1251
250235.440236	3688207.934655
250235.488297	3688207.749945
250235.530108	3688207.56389
250235.582158	3688207.38358
250235.652401	3688207.199958
