316678.405319258	4158048.46262341	
316678.715003647	4158048.87764708	
316679.059780816	4158049.28079406	
316679.586160772	4158049.50230373	
316680.126778766	4158049.56807573	
316680.64776732	4158049.54546798	
316681.157960923	4158049.43428538	
316681.671830437	4158049.48954655	
316682.144468317	4158049.67893829	
316682.630106643	4158050.05677118	
316682.9758638	4158050.50430331	
316683.155481468	4158051.03321624	
316683.204052477	4158051.63163327	
316683.17115283	4158052.14303628	
316682.925245803	4158052.61473686	
316682.653325531	4158053.10921528	
316682.355146961	4158053.61537529	
316682.137458837	4158054.16416432	
316682.026029355	4158054.72170831	
316682.020368373	4158055.26581475	
316682.172747461	4158055.76202424	
316682.377398118	4158056.22377433	
